,Open,High,Close
3365,170.67,172.52,167.86
3366,174.1,175.2,168.7
3367,170.86,175.44,172.55
3368,182.0,182.3,169.35
3369,188.25,190.4,184.7
3370,198.19,201.6,191.67
3371,198.73,199.25,194.87
3372,193.5,197.67,196.03
3373,198.87,199.95,190.64
3374,186.63,194.39,193.3
3375,182.50900000000001,189.52,185.97
3376,186.449,192.64,181.8
3377,176.28,194.43,187.4
3378,170.435,180.17,172.43
3379,144.13,150.13,149.38
3380,147.94,148.99,140.49
3381,150.5,152.4,147.94
3382,143.12,149.2,149.16
3383,144.95,145.5,144.11
3384,141.02,142.38,142.0
3385,143.24,143.55,140.9
3386,134.49,137.61,137.4
3387,137.01,138.86,135.26
3388,138.73,139.68,137.73
3389,136.56,139.88,138.85
3390,137.67,138.45,137.08
3391,134.66,138.53,138.37
3392,135.275,136.87,135.06
3393,130.8,134.24,132.58
3394,129.899,132.3,129.6
3395,126.53,135.02,131.08
3396,121.15,127.4,126.86
3397,119.56,120.88,118.26
3398,120.97,124.1,119.83
3399,118.84,122.63,120.82
3400,117.45,119.67,118.38
3401,120.2,120.42,117.84
3402,116.95,121.6,119.36
3403,114.42,117.49,117.49
3404,112.34,115.8,113.97
3405,110.56,114.23,112.0
3406,107.44,112.0,111.49
3407,106.63,108.41,107.5
3408,101.47,106.56,105.33
3409,102.5,102.71,102.31
3410,100.74,103.03,102.3
3411,101.01,102.0,101.58
3412,100.95,101.74,100.01
3413,99.09,102.37,101.51
3414,102.7,102.97,100.25
3415,102.32,103.71,102.37
3416,105.28,105.49,102.01
3417,108.1,108.62,106.15
3418,104.95,107.95,107.91
3419,104.76,108.0,106.0
3420,111.24,111.6,104.87
3421,110.76,113.48,109.4
3422,101.01,109.08,108.31
3423,100.01,104.06,100.335
